    40|*|B...        |U|      | |10.240| |10.550|10.336|       0.412| 0.048|         | |C| |V463_Cep    |          |          |     |     | | 
    76|*|M0          |U|      | | 9.041| | 9.141| 9.091|       0.071| 0.018|         | | | |V401_And    |          |          |     |     | | 
    99| |C5p         |U|SRB   | | 6.772| | 7.215| 6.975|       0.384| 0.058|         | |B| |WZ_Cas      | 186.00000|          | 9.40|11.40|P|R
   107|*|M2III       |U|      | | 5.603| | 5.654| 5.624|       0.035| 0.007|         | | | |            |          |          |     |     | | 
   139|*|B0          |U|      | |10.098| |10.257|10.151|       0.139| 0.029|         | | | |            |          |          |     |     | | 
   154| |M3III       |U|L     | | 4.350| | 4.464| 4.412|       0.103| 0.018|         | |C| |YY_Psc      |          |          | 4.31| 4.41|V| 
   178|*|F7V         |U|      | | 8.070| | 8.170| 8.095|       0.114| 0.018|         | | | |            |          |          |     |     | | 
   181|*|M0          |U|SR    | | 6.750| | 6.839| 6.796|       0.077| 0.014|         | | |P|V822_Cas    |          |          |     |     | | 
   215|*|M2          |U|      | | 9.237| | 9.345| 9.297|       0.078| 0.021|         | | | |V396_Cep    |          |          |     |     | | 
   274| |B3Ia        |U|ACYG  |*| 6.299| | 6.377| 6.332|       0.062| 0.011|         | | | |V639_Cas    |          |          | 6.19| 6.28|V|R
   302|*|M4          |U|SR    | | 6.300| | 6.398| 6.354|       0.079| 0.014|         | | |P|V398_Cep    |          |          |     |     | | 
   336|*|K5          |U|      | | 7.624| | 7.697| 7.661|       0.049| 0.012|         | |C| |V739_Cas    |          |          |     |     | | 
   363| |C5II        |U|SR:   |*| 8.011| | 8.263| 8.126|       0.233| 0.040|         | |C| |SU_And      |          |          | 8.00| 8.50|V|R
   376|*|K0          |U|      | | 8.497| | 8.567| 8.532|       0.051| 0.016|         | | | |            |          |          |     |     | | 
   386|*|B2          |U|L     | | 9.154| | 9.346| 9.234|       0.174| 0.031|         | |C| |V399_Cep    |          |          |     |     | | 
   406|*|M0          |U|      | | 8.658| | 8.753| 8.706|       0.066| 0.018|         | | | |            |          |          |     |     | | 
   457|*|M3III       |U|L     | | 7.313| | 7.634| 7.486|       0.288| 0.041|         | |C|P|BH_Phe      |          |          |     |     | | 
   470|*|B1.5IV      |U|      | | 8.335| | 8.443| 8.407|       0.120| 0.018|         | | |P|            |          |          |     |     | | 
   500|*|M1/M2       |U|SR    | | 9.558| | 9.838| 9.659|       0.259| 0.039|         | |C|P|BI_Phe      |          |          |     |     | | 
   520|*|M...        |U|SR    | | 7.537| | 7.669| 7.595|       0.095| 0.018|         | | |P|CE_Cet      |          |          |     |     | | 
   523|*|M4          |U|      | |12.019| |12.342|12.217|       0.129| 0.121|         | | | |CQ_Tuc      |          |          |     |     | | 
   536| |M6e         |U|L     |*| 8.960| | 9.673| 9.273|       0.638| 0.124|         | | | |TT_Peg      | 154.00000|2437178.00| 9.30|11.20|V|R
   544| |K0V         |U|      | | 6.190| | 6.226| 6.209|       0.025| 0.008|         | | | |NSV_00033   |          |          | 6.09| 6.14|V|R
   579|*|M...        |U|      | | 8.285| | 8.361| 8.331|       0.057| 0.015|         | | | |            |          |          |     |     | | 
   590|*|M5          |U|SR    | | 8.634| | 8.937| 8.747|       0.269| 0.048|         | | |P|V341_And    |          |          |     |     | | 
