     8| |M6e-M8.5e Tc|P|M     | | 7.702| |11.715|  -1.4| 327.5      |  -0.3|8735.0   |1|B|P|Z_Peg       | 334.80000|2445090.00| 7.30|13.60|V|R
    63| |B9p SiEu    |P|ACV   | | 6.315| | 6.360|  -1.5|   3.7397   |  -3.9|8501.485 |3|A|P|CG_And      |   3.73975|2440101.65| 6.32| 6.42|V|R
   109|*|F0          |P|DSCT  | | 7.292| | 7.334|  -0.9|   0.1652491|  -6.6|8500.0777|5|A| |DR_Psc      |          |          |     |     | | 
   226| |F0/F2V      |P|RRAB  | | 9.570| |10.829|  -1.9|   0.493347 |  -5.6|8500.4390|4|A| |RU_Scl      |   0.49334|2431122.84| 9.35|10.75|V|R
   262| |F0V         |P|EA/SD | | 9.077|>|11.00 |      |            |      |         | |A| |TW_And      |   4.12277|2439020.41| 8.80|10.86|V|R
   270|*|A2          |P|EA    | | 7.393| | 7.811|  -1.7|   2.08684  |  -4.4|8501.1800|4|A| |V397_Cep    |          |          |     |     | | 
   316|*|F0          |P|DSCT  | | 7.264| | 7.329|  -1.0|   0.170088 |  -5.7|8500.1440|4|A| |NN_Peg      |          |          |     |     | | 
   320| |F1:         |P|RRAB  | |11.762| |12.478|  -1.3|   0.606083 |  -5.1|8500.2720|4|A| |UU_Cet      |   0.60608|2441208.58|11.54|12.36|V|R
   344| |M5e-M7e     |P|M     | | 8.199| |12.154|  -1.8| 315.8      |  -0.7|8515.5   |1|B|P|SV_And      | 316.21000|2442887.00| 7.70|14.30|V|R
   390| |F7          |P|CWA   | |11.206| |11.914|  -1.0|   9.160    |  -2.8|8501.74  |2|A| |IX_Cas      |   9.15338|2442779.74|11.19|11.77|V|R
   516| |M1III       |P|SRC   | | 7.952| | 9.255|  -1.5| 146.8      |  -0.6|8547.3   |1|A| |SW_Scl      | 146.00000|2440037.00| 7.30| 9.30|V| 
   623|*|F0          |P|      | | 8.433| | 8.478|  -1.0|   0.92521  |  -4.1|8500.480 |3|A| |            |          |          |     |     | | 
   664| |K2III       |P|SR    |*| 6.241| | 6.430|  -1.2|  48.34     |  -1.3|8540.6   |1|A| |AP_Psc      |          |          | 6.10| 6.30|V|R
   703| |            |P|M     | |10.293| |12.523|  -1.7| 366.       |   0.1|8562.3   |1|B|P|RU_Oct      | 373.00000|2413443.00|10.20|15.00|P| 
   723|*|G5          |P|      | | 8.687| | 8.738|  -0.8| 356.       |   0.9|8711.    |0|A| |V740_Cas    |          |          |     |     | | 
   746| |F2III-IV    |P|DSCT  |*| 2.346| | 2.379|  -1.5|   0.1010370|  -6.7|8500.0830|4|A|P|bet_Cas     |   0.10430|2438991.88| 2.25| 2.31|V|R
   781| |M3e-M8e     |P|M     | | 9.229| |12.225|  -1.5| 138.66     |  -1.1|8507.4   |1|B|P|SS_Cas      | 140.57000|2444208.00| 8.80|13.30|V|R
   796| |            |P|CWB   | |11.044| |11.382|  -1.2|   3.6516   |  -3.5|8503.259 |3|A| |BD_Cas      |   3.65090|2441932.03|10.84|11.21|V|R
   817|*|A3+...      |P|EA    | | 7.578| | 7.723|  -1.2|   2.63934  |  -4.2|8500.6933|4|A|P|V342_And    |          |          |     |     | | 
   834|*|K0          |P|EB    | | 8.256| | 8.506|  -1.5|   9.0576   |  -3.1|8504.061 |3|A| |V741_Cas    |          |          |     |     | | 
   864|*|M0          |P|SR    | | 9.602| | 9.820|  -1.0|  37.82     |  -1.2|8515.24  |2|A| |NP_Peg      |          |          |     |     | | 
   871| |B7IIIe+K3III|P|EB    |*| 9.00 | | 9.870|      |            |      |8516.00  |2|A|D|SX_Cas      |  36.56375|2439009.53| 8.96| 9.83|V|R
   883|*|F6IV/V      |P|EB    | | 8.344| | 8.682|  -1.7|   0.810352 |  -5.2|8500.3370|4|A| |BL_Phe      |          |          |     |     | | 
   988|*|M...        |P|SR    | | 7.793| | 7.985|  -1.1|  45.13     |  -1.2|8542.6   |1|A| |V345_And    |          |          |     |     | | 
